fever,cough,headache,fatigue,body_pain,shortness_of_breath,diarrhea,runny_nose,sore_throat,loss_of_taste_or_smell,nausea,vomiting,chest_pain,skin_rash,joint_pain,dizziness,chills,abdominal_pain,confusion,swelling,blurred_vision,increased_thirst,weight_loss,night_sweats,loss_of_appetite,muscle_weakness,tremors,seizures,jaundice,swollen_lymph_nodes,palpitations,numbness_or_tingling,difficulty_swallowing,bruising_easily,hair_loss,dry_mouth,frequent_urination,vision_loss,hearing_loss,itching,constipation,memory_loss,bone_pain,irregular_heartbeat,wheezing,sensitivity_to_light,sensitivity_to_sound,muscle_cramps,stiff_neck,excessive_sweating,blood_in_urine,blood_in_stool,mouth_ulcers,joint_swelling,balance_problems,slurred_speech,personality_changes,sleep_disturbances,pale_skin,cold_intolerance,heat_intolerance,swollen_glands,abnormal_bleeding,dark_urine,clay_colored_stools,tingling_in_extremities,eye_pain,tinnitus,swollen_abdomen,difficulty_concentrating,abnormal_weight_gain,chronic_cough,muscle_stiffness,disease,medication,nutrition,advice
1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flu,"Paracetamol, rest, fluids","Vitamin C, Zinc, Warm fluids","you should go for Flu Test, and consult a General Practitioner. Preventive measures include rest and drinking fluids."
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Migraine,"Ibuprofen, sleep, hydration","Magnesium, Omega-3s, Hydrating foods","you should consider a CT Scan or Blood Test, and consult a Neurologist. Preventive measures include regular sleep and stress management."
0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cold,"Paracetamol, rest, fluids","Vitamin C, Zinc, Warm fluids","you should have a Rapid Influenza Diagnostic Test, and consult a Primary Care Physician. Stay hydrated and rest."
1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Pneumonia,"Antibiotics (prescribed), acetaminophen","Protein, Vitamin A, Warm soups","you should get a Chest X-ray and Blood Test, and consult a Pulmonologist. Vaccination and avoiding smoke are recommended."
0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Migraine,"Ibuprofen, sleep, hydration","Magnesium, Omega-3s, Hydrating foods","consider an MRI Scan or Blood Test, and see a Neurologist. Avoid triggers and ensure regular sleep."
1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Influenza,"Paracetamol, rest, fluids","Vitamin C, Zinc, Warm fluids","consider a Flu Test and Chest X-ray, and see a Family Doctor. Get vaccinated and ensure adequate rest."
0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bronchitis,"Cough syrup, steam inhalation","Balanced diet, Hydration, Multivitamins","you should have a Chest X-ray and Sputum Test, and consult a Pulmonologist. Quit smoking and use a humidifier."
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dengue,"Paracetamol, oral rehydration salts","Papaya leaf extract, Fluids, Iron-rich foods",get a Dengue NS1 Antigen Test and see an Infectious Disease Specialist. Avoid mosquito bites.
1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COVID-19,"Paracetamol, rest, hydration","Vitamin D, Zinc, Fluids","you should get a PCR Test and Antigen Test, and consult an Infectious Disease Specialist. Vaccination and wearing masks are recommended."
1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Asthma,Salbutamol inhaler,"Balanced diet, Hydration, Multivitamins","you should consider a Lung Function Test, and consult a Pulmonologist. Avoid allergens and use inhalers."
0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stomach Flu,"Paracetamol, rest, fluids","Vitamin C, Zinc, Warm fluids","you should get a Stool Test, and consult a Gastroenterologist. Stay hydrated and avoid dairy."
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chickenpox,"Calamine lotion, antihistamines","Balanced diet, Hydration, Multivitamins","you should have a PCR Test or Blood Test, and see a Pediatrician. Vaccination is recommended."
0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Food Poisoning,"ORS, activated charcoal","Balanced diet, Hydration, Multivitamins","consider a Stool Culture, and consult a Gastroenterologist. Stay hydrated and rest."
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malaria,Antimalarial tablets (chloroquine),"Balanced diet, Hydration, Multivitamins",you should have a Blood Test and see an Infectious Disease Specialist. Use mosquito nets.
0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Heart Attack,"Aspirin (emergency), nitroglycerin","Balanced diet, Hydration, Multivitamins","you should get an ECG and Blood Test, and consult a Cardiologist. Regular checkups and a healthy diet are important."
1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuberculosis,Anti-TB medication (prescribed),"Balanced diet, Hydration, Multivitamins","you should have a Chest X-ray and Sputum Test, and see a Pulmonologist. Vaccination and avoiding crowded places are recommended."
1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Whooping Cough,Cough suppressants,"Balanced diet, Hydration, Multivitamins","you should get a PCR Test, and consult a Pediatrician. Vaccination is important."
1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lung Cancer,Prescribed chemotherapy or radiation,"Balanced diet, Hydration, Multivitamins","consider a Chest X-ray and CT Scan, and see an Oncologist. Regular checkups and avoiding smoking are essential."
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Typhoid Fever,"Ciprofloxacin (prescribed), ORS","Balanced diet, Hydration, Multivitamins",you should have a Blood Culture and consult an Infectious Disease Specialist. Vaccination and hygiene are crucial.
0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sinus Infection,"Decongestants, nasal spray","Balanced diet, Hydration, Multivitamins","consider a Nasal Endoscopy, and see an ENT Specialist. Steam inhalation and staying hydrated are beneficial."
